X,Y,Z,formation
800.000000,1800.000000,-1400.000000,Reservoir
800.000000,200.000000,-1400.000000,Reservoir
1022.286000,1000.000000,-1004.636000,Reservoir
1150.000000,1000.000000,-1050.000000,Reservoir
1750.000000,1000.000000,-1250.000000,Reservoir
1300.000000,1000.000000,-1100.000000,Reservoir
1600.000000,1000.000000,-1200.000000,Reservoir
1900.000000,1000.000000,-1300.000000,Reservoir
2000.000000,1000.000000,-1275.000000,Reservoir
600.000000,1000.000000,-1050.000000,Reservoir
300.000000,1000.000000,-950.000000,Reservoir
900.000000,1000.000000,-1150.000000,Reservoir
1000.000000,1975.000000,-1050.000000,Reservoir
1000.000000,1900.000000,-1100.000000,Reservoir
1000.000000,25.000000,-1050.000000,Reservoir
1000.000000,100.000000,-1100.000000,Reservoir
2000.000000,1000.000000,-875.000000,Seal
1900.000000,1000.000000,-900.000000,Seal
1137.883000,1000.000000,-640.505000,Seal
1039.625000,1000.000000,-798.488000,Seal
1300.000000,1000.000000,-700.000000,Seal
1600.000000,1000.000000,-800.000000,Seal
900.000000,1000.000000,-750.000000,Seal
600.000000,1000.000000,-650.000000,Seal
2000.000000,1000.000000,-775.000000,SecondaryReservoir
1162.923000,1000.000000,-548.898000,SecondaryReservoir
1069.600000,1000.000000,-707.746000,SecondaryReservoir
1900.000000,1000.000000,-800.000000,SecondaryReservoir
1300.000000,1000.000000,-600.000000,SecondaryReservoir
1600.000000,1000.000000,-700.000000,SecondaryReservoir
900.000000,1000.000000,-650.000000,SecondaryReservoir
600.000000,1000.000000,-550.000000,SecondaryReservoir
800.000000,1000.000000,-1600.000000,MainFault
1200.000000,1000.000000,-400.000000,MainFault
1100.000000,1000.000000,-700.000000,MainFault
1000.000000,1000.000000,-1000.000000,MainFault
900.000000,1000.000000,-1300.000000,MainFault
924.028000,1000.000000,-1270.509000,NonReservoirDeep
812.284000,1000.000000,-1428.492000,NonReservoirDeep
1000.000000,1000.000000,-1300.000000,NonReservoirDeep
1750.000000,1000.000000,-1550.000000,NonReservoirDeep
1300.000000,1000.000000,-1400.000000,NonReservoirDeep
1600.000000,1000.000000,-1500.000000,NonReservoirDeep
1900.000000,1000.000000,-1600.000000,NonReservoirDeep
2000.000000,1000.000000,-1575.000000,NonReservoirDeep
600.000000,1000.000000,-1350.000000,NonReservoirDeep
300.000000,1000.000000,-1250.000000,NonReservoirDeep
